Publicity name,Primary discipline,Secondary discipline,Primary institution type,Secondary institution type,Web site,Phone number,EMAIL,email_2nd,ad1,ad2,cit,STA,zip,Primary contact person,Mission statement collected for Operating Support applicants only and updated with each year if organization reapplies,APP,FY,LNAM sort,Legal name
"Saint Mary's University of Minnesota, Page Theatre",Interdisciplinary,Multidisciplinary,Performance Facility,,http://www.pagetheatre.org/,(507) 457-1715 ,tremick@smumn.edu,,700 Terrace Hts,Ste 67,Winona,MN,55987-1321,"Theresa Remick, Managing Director","The mission of the Performance Center at Saint Mary's University of Minnesota is to be southeastern Minnesota's premiere performing arts center, bringing artists and community together through imaginative programming, unique collaborations, a welcoming atmosphere, and exceptional service. The Performance Center strives to be the venue through which artists and community connect, where audiences can experience a variety of cultures through quality performances of music, theatre, and dance, and discover the relevance of the arts in their daily lives.",73120,2019,"Saint Mary's University of Minnesota, Page Theatre","Saint Mary's University of Minnesota, Page Theatre"
Saint Paul Ballet,"Dance, ballet",,Performing Group,School of the Arts,https://www.spballet.org/,(651) 690-1588 ,lgleason@spballet.org,info@spballet.org,1680 Grand Ave,,St Paul,MN,55105,"Lori Gleason, Executive Director","Saint Paul Ballet's mission is to perform a vibrant repertory with a passion for the highest level of excellence, provide the finest dance education, and reduce barriers to involvement in the art of dance.",71585,2019,Saint Paul Ballet,Saint Paul Ballet
The Schubert Club,"Music, solo/recital","Music, chamber",Cultural Series Organization,Museum - Other,https://www.schubert.org/,(651) 292-3270 ,polson@schubert.org,,75 W 5th St,Ste 302,St Paul,MN,55102-7730,"Paul Olson, Development Director","Schubert Club cultivates a passion for music and fosters an engaged community of music enthusiasts through concerts, music education, museum exhibits, and student scholarships.",73325,2019,"Schubert Club, Inc.","Schubert Club, Inc."
The Singers-Minnesota Choral Artists,"Music, choral",,Performing Group,,https://www.singersmca.org/,(651) 917-1948 ,singersmca@yahoo.com,info@singersmca.org,100 N Oxford St Ste 2,,St Paul,MN,55104,"Matthew Culloton, Founding Artistic Director","Through the performance of established works and the programming of new music, The Singers Minnesota Choral Artists serve as artists, educators, and advocates of the choral art.",73097,2019,Singers Minnesota Choral Artists,Singers Minnesota Choral Artists
Soo Visual Arts Center,Visual arts,Multidisciplinary,Arts Center,Gallery/Exhibition Space,http://www.soovac.org/,(612) 871-2263 ,carolyn@soovac.org,info@soovac.org,2909 Bryant Ave S,Ste 101,Minneapolis,MN,55408,"Carolyn Payne, Executive Director","Soo Visual Arts Center is a nonprofit art space that connects our community with fresh, underrepresented and provocative art. Soo Visual Arts Center envisions a dynamic community in which artists and audiences challenge each other in an environment where art is integral to everyday life.",73323,2019,Soo Visual Arts Center,Soo Visual Arts Center
"Sounds of Hope, Ltd.",Music,Folk/Traditional music,Performing Group for Youth,Arts Camp/Institute,https://www.soundsofhope.org/,(651) 225-4179 ,info@soundsofhope.org,tsurprenant@soundsofhope.org,882 Stryker Ave,Ste 1,West St Paul,MN,55118,"Thomas Surprenant, Program Director","The mission of Sounds of Hope, Ltd. is to foster global awareness by drawing children and young adults to Minnesota to participate in residential arts projects and by presenting their global musical performances to a wide variety of audiences throughout Minnesota.",72241,2019,"Sounds of Hope, Ltd.","Sounds of Hope, Ltd."
Springboard for the Arts,Multidisciplinary,,Arts Service Organization,,https://www.springboardforthearts.org/,(651) 292-4381 ,carl@springboardforthearts.org,,308 Prince St,Ste 270,St Paul,MN,55101-1437,"Carl Swanson, Associate Director","Springboard for the Arts' mission is to cultivate vibrant communities by connecting artists with the skills, information, and services they need to make a living and a life.",73583,2019,Springboard for the Arts,Springboard for the Arts
Stages Theatre Company,Theater for young audiences,,Performing Group for Youth,,https://www.stagestheatre.org/,(952) 979-1132 ,rmogilevsky@stagestheatre.org,,1111 Mainstreet,,Hopkins,MN,55343,"Rebekah Mogilevsky, Development Director",Stages Theatre Company is committed to the enrichment and education of children and youth in a professional theater environment that stimulates artistic excellence and personal growth. CORE PURPOSE: We use theater to empower young people to create a positive influence in their world.,73351,2019,"Stages Theatre Company, Inc.","Stages Theatre Company, Inc."
SteppingStone Theatre,Theater for young audiences,None of the above,Performing Group for Youth,None of the above,http://www.steppingstonetheatre.org/,(651) 225-9265 ,ernest@steppingstonetheatre.org,,55 Victoria St N,,St Paul,MN,55104,"Ernest Briggs, Associate Artistic Director","SteppingStone Theatre's mission is to develop the whole child by using educational theater programs and fully staged productions to build self-esteem, confidence, and a sense of community, while celebrating diversity in a supportive, noncompetitive atmosphere.",73129,2019,SteppingStone Theater Company,SteppingStone Theater Company
Stuart Pimsler Dance and Theater,"Dance, modern",Interdisciplinary,Performing Group,,http://www.stuartpimsler.com/,(763) 521-7738 ,spdanth@gmail.com,,528 Hennepin Ave S,Ste 707,Minneapolis,MN,55403,"Stuart Pimsler, Executive Director","Stuart Pimsler Dance and Theater's mission is to create, produce, and present public performances of new works and repertory by artistic codirectors, Stuart Pimsler and Suzanne Costello; to provide opportunities for arts participation through the Community Connections program,   including Arts and Education, Arts and Healthcare, and other Community Inclusive projects; and to promote and strengthen the understanding of dance theater through a variety of presentations and audience performer dialogues.",73027,2019,Stuart Pimsler Dance and Theater,Stuart Pimsler Dance and Theater
The Sheldon Theatre,Multidisciplinary,"Theater, general",Performance Facility,Arts Center,https://www.sheldontheatre.org/,(651) 388-8713 ,bschock@sheldontheatre.org,,443 3rd St W,,Red Wing,MN,55066-2310,"Bonnie Schock, Executive Director","The mission of The Sheldon Theatre is to entertain, educate, and enlighten the community and its visitors through the transformative power of the performing arts.",73073,2019,T. B. Sheldon Memorial Theatre,T. B. Sheldon Memorial Theatre
Textile Center,"Crafts, fiber",,Arts Service Organization,,https://www.textilecentermn.org/,(612) 436-0464 ,karl@karlreichert.com,,3000 University Ave SE,,Minneapolis,MN,55414,"Karl Reichert, Excecutive Director","Textile Center of Minnesota's mission is to honor textile traditions, promote excellence and innovation, and inspire widespread participation in fiber art.",72780,2019,Textile Center of Minnesota,Textile Center of Minnesota
The American Composers Forum,Music,,Arts Service Organization,,https://composersforum.org/,(651) 228-1407 ,bmarshall@composersforum.org,,75 5th St W,Ste 522,St Paul,MN,55102-1439,"Bonnie Marshall, VP of Development","The American Composers Forum enriches lives by nurturing the creative spirit of composers and communities, providing new opportunities for composers and their music to flourish, and engaging communities in the creation, performance, and enjoyment of new music.",71735,2019,American Composers Forum,The American Composers Forum
The Givens Foundation for African American Literature,Literature,,Arts Service Organization,,https://www.givens.org/,(612) 272-8491 ,herman.milligan@gmail.com,,5775 Wayzata Blvd,Ste 700,St Louis Park,MN,55416,"Herman Milligan, Jr., Chair, Board of Directors",The Givens Foundation for African American Literature is dedicated to enriching cultural understanding and learning through programs that advance and celebrate African American literature and writers. ,73546,2019,Archie and Phebe Mae Givens Foundation,The Archie and Phebe Mae Givens Foundation
The Atelier,"Visual arts, painting",,School of the Arts,School - Vocational/technical,http://www.theatelier.org/,(612) 362-8421 ,eclipse@mindspring.com,cydwicker@earthlink.net,1681 Hennepin Ave E,,Minneapolis,MN,55414,"Cynthia Wicker, Co-Director",The Atelier is a nonprofit organization committed to the ideal of access for all to a structured system of artistic instruction based in the precepts of the classical masters. Our organization creates opportunities for all people to be trained as realist painters. We provide resources and classes that facilitate the skills needed to become a painter. We are devoted to building and sustaining a true learning environment focusing on fine draftsmanship and painting skills.,73090,2019,Atelier Studio Program of Fine Arts,The Atelier Studio Program of Fine Arts
The Cedar,Multidisciplinary,Non-arts/Non-humanities,Performance Facility,Arts Center,https://www.thecedar.org,(612) 338-2674x 103,mdelorie@thecedar.org,,416 Cedar Ave S,,Minneapolis,MN,55454,"Mary Delorié, Development Director","The mission of The Cedar is to promote intercultural appreciation and understanding through the presentation of global music and dance. The Cedar is committed to artistic excellence and integrity, diversity of programming, support for emerging artists, and community outreach.",73181,2019,"Cedar Cultural Center, Inc.","The Cedar Cultural Center, Inc."
The Center for Irish Music,Folk/Traditional music,"Music, ethnic/folk-inspired",School of the Arts,,http://www.centerforirishmusic.org/,(651) 815-0083 ,nrendell@centerforirishmusic.org,,836 Prior Ave N,,St Paul,MN,55104,"Norah Rendell, Executive Director",The Center for Irish Music is dedicated to handing down traditional Irish music to the next generation in our community. The vision of the school is to inspire and support the traditional Irish music community in the Twin Cities and Minnesota now and into the future.,73041,2019,Center for Irish Music,The Center for Irish Music
Children's Theatre Company,Theater for young audiences,Theater,Performing Group for Youth,,http://www.childrenstheatre.org/,(612) 874-0500 ,junderwood@childrenstheatre.org,,2400 3rd Ave S,,Minneapolis,MN,55404,"Jill Underwood, Assoc Dir of Devel/Inst Giving","The mission of Children's Theatre Company is to create extraordinary theater experiences that educate, challenge, and inspire young people and their communities.",73072,2019,Children's Theatre Company and School,The Children's Theatre Company and School
Copper Street Brass,"Music, chamber",,Performing Group,,http://www.csbq.org/,(612) 722-3667 ,allison@copperstreetbrass.org,,511 Groveland Ave,,Minneapolis,MN,55403,"Allison Hall, Executive Program Director","The mission of the Copper Street Brass is to represent the evolution of the brass quintet. Through inventive concerts, engaging educational programs, and original musical arrangements, we bring a fresh perspective to instrumental music. To express our artistic voice, we use a dazzling fusion of brass, keyboard, guitar, percussion, and electronic instruments to appeal to a universal audience and go beyond ordinary.",73135,2019,Copper Street Brass Quintet,The Copper Street Brass Quintet
Fairmont Opera House,Multidisciplinary,Music,Performance Facility,Cultural Series Organization,http://www.fairmontoperahouse.org/,(507) 238-4900 ,director@fairmontoperahouse.org,,45 Downtown Plz,PO Box 226,Fairmont,MN,56031-0226,"Blake Potthoff, Executive Director",The mission of the Fairmont Opera House is to provide a historical arts and entertainment center with the purpose of promoting cultural growth and community involvement.,73397,2019,"Fairmont Opera House, Inc.","The Fairmont Opera House, Inc."
The Film Society of Minneapolis/Saint Paul,"Media Arts, film","Media Arts, video",Cinema,,http://www.mspfilm.org/,(612) 331-7563 ,susan.s@mspfilm.org,,125 Main St SE,Ste 341,Minneapolis,MN,55414,"Susan Smoluchowski, Executive Director","The Mission of the Film Society of Minneapolis Saint Paul is to foster a knowledgeable and vibrant appreciation of the art of film and its power to inform and transform individuals and communities. Our mission is accomplished through a commitment to exhibiting the very best of new and classic local, domestic, and international independent cinema through the annual Minneapolis Saint Paul International Film Festival, regular special themed series, and daily screenings.",73091,2019,Film Society of Minneapolis/Saint Paul,The Film Society of Minneapolis/Saint Paul
History Theatre,Theater,,Performance Facility,Performing Group,http://www.historytheatre.com/,(651) 292-4326 ,mwest@historytheatre.com,,30 10th St E,,St Paul,MN,55101-2205,"Martha West, Development Manager","History Theatre entertains, educates, and engages through creating, developing, and producing new and existing works that explore Minnesota's past and the diverse American experience. Its work provides a unique lens which links our past to the present, explores our common heritage, and illuminates our understanding of what it means to be American.",73338,2019,"History Theatre, Inc.","The History Theatre, Inc."
The Minneapolis Institute of Arts,Visual arts,,Museum - Art,,https://new.artsmia.org/,(612) 870-3131 ,dberus@artsmia.org,,2400 3rd Ave S,,Minneapolis,MN,55404,"Darcy Berus-Hoornbeek, Foundation Relations Manager","The Minneapolis Institute of Art (Mia) enriches the community by collecting, preserving, and making accessible outstanding works of art from the world's diverse cultures.",72829,2019,Minneapolis Society of Fine Arts,The Minneapolis Society of Fine Arts
Minnesota Opera,Opera,,Performing Group,,https://www.mnopera.org/,(612) 333-2700 ,dkonopka@mnopera.org,,620 1st St N,,Minneapolis,MN,55401-1225,"Diana Konopka, Institutional Gifts Officer","Minnesota Opera changes lives by bringing together artists, audiences, and community advancing the art form of opera for today and for future generations.",71821,2019,Minnesota Opera,The Minnesota Opera
The Museum of Russian Art,Visual arts,Folk/Traditional crafts/vis arts,Museum - Art,,http://www.tmora.org/,(612) 821-9045x 19,alegeros@tmora.org,,5500 Stevens Ave S,,Minneapolis,MN,55419,"Alex Legeros, Development Officer","The mission of The Museum of Russian Art (TMORA) is: education, enlightenment, and engagement through the Art of Russia. TMORA is the only major institution in North America devoted exclusively to Russian arts and culture. A core philosophy of TMORA's work is cultural diplomacy: creating personal connections across borders through the medium of art. TMORA's exhibitions and programming are among the only outlets for cultural diplomacy between the United States and Russia. They are recognized as such by the Russian cultural ministry, academics nationwide, and local cultural experts.",73343,2019,Museum of Russian Art,The Museum of Russian Art
The O'Shaughnessy,Multidisciplinary,Dance,Performance Facility,College/University,http://oshag.stkate.edu/,(651) 690-6700 ,klspehar@stkate.edu,,2004 Randolph Ave,,St Paul,MN,55105-1750,"Kathleen Spehar, Director","Through the support of diverse, cultural, and socially relevant works, The O'Shaughnessy stands as a touchstone for the campus, a performing arts venue for the community, and a space for celebration and ceremony.",71640,2019,O'Shaughnessy at Saint Catherine University,The O'Shaughnessy at Saint Catherine University
The Playwrights' Center,"Theater, playwriting",Theater for young audiences,Arts Center,,https://www.pwcenter.org/,(612) 332-7481 ,robertc@pwcenter.org,,2301 Franklin Ave E,,Minneapolis,MN,55406-1024,"Robert Chelimsky, Managing Director",The Playwrights' Center champions playwrights and new plays to build upon a living theater that demands new and innovative works.,73315,2019,Playwrights' Center,The Playwrights' Center
The Rose Ensemble,"Music, choral",,Performing Group,,https://www.RoseEnsemble.org/,(651) 225-4340 ,jordan@roseensemble.org,holly@roseensemble.org,75 5th St W,Ste 314,St Paul,MN,55102-1423,"Jordan Sramek, Founder and Artistic Director","Uniting virtuosic vocal artistry with scholarly research, The Rose Ensemble creates musical performances and educational programs that connect audiences to compelling stories of human history, culture and spirituality from around the world. ",73284,2019,Rose Ensemble,The Rose Ensemble
The Saint John's Boys' Choir,"Music, choral",,Performing Group for Youth,,http://www.sjbchoir.org/,(320) 363-2558 ,aklaverkamp@csbsju.edu,sjbc@csbsju.edu,2840 Abbey Plz,PO Box 2000,Collegeville,MN,56321-2000,"Angela Klaverkamp, Executive Director","The Saint John's Boys' Choir offers an enriching experience in music education with an emphasis in vocal music, as well as the socializing experiences of shared enterprise, fellowship, cultural awareness, and touring for boys ages 8-15. The choir promotes vocal music education in central Minnesota and offers the unique experience of a well trained boys' choir to its audiences.",73122,2019,Saint John's Boys' Choir,The Saint John's Boys' Choir
The Saint Paul Chamber Orchestra,"Music, orchestral","Music, chamber",Performing Group,,https://www.thespco.org/,(651) 292-3280 ,rcline@spcomail.org,,408 St Peter St,3rd Fl,St Paul,MN,55102-1497,"Rebecca Cline, Development Director Asst.","The mission of The Saint Paul Chamber Orchestra is to present a world-class professional chamber orchestra in the Twin Cities, dedicated to superior performance, artistic innovation, and education for the enrichment of community and world audiences. ",71267,2019,Saint Paul Chamber Orchestra Society,The Saint Paul Chamber Orchestra Society
The Saint Paul Conservatory of Music,Music,"Music, chamber",School of the Arts,,https://www.thespcm.org/,(612) 875-8181 ,lea@lmjsolutions.org,,26 E Exchange St,Ste 500,St Paul,MN,55101,"Lea Johnson, Fundraising/Grant Consultant","Saint Paul Conservatory of Music is a school where the aspirations of students of all ages, abilities, and backgrounds are met with a commitment to excellence through creative expression, disciplined training, and regular performance opportunities. We seek to level the playing field for underserved communities and provide music for all. We embrace diversity in our teachers, students, and programs. The Conservatory fosters musical friendships, encourages artistic growth, and contributes to the enrichment of the arts in Saint Paul and the larger Twin Cities metropolitan area. Thus our mission to be: A vibrant community of world class musicians with a passion for teaching and a commitment to all. ",73576,2019,Saint Paul Conservatory of Music,The Saint Paul Conservatory of Music
The Soap Factory,"Visual arts, experimental",Multidisciplinary,Gallery/Exhibition Space,,https://www.soapfactory.org/,(612) 623-9176 ,bill@soapfactory.org,,514 2nd St SE,,Minneapolis,MN,55414,"Bill Mague, Board Chair","The Soap Factory is a laboratory for artistic experimentation and innovation, dedicated to supporting artists and engaging audiences through the production and presentation of contemporary art in a unique and historic environment.",73529,2019,Soap Factory,The Soap Factory
Southern Theater,Theater,Multidisciplinary,Performance Facility,,https://www.southerntheater.org/,(612) 232-8207 ,jdavis@southerntheater.org,,1420 Washington Ave S,,Minneapolis,MN,55454-1038,"Janette Davis, Acting Executive Director",The Southern Theater's mission is to foster a community of exceptional artists. ,71566,2019,Southern Theater Foundation,The Southern Theater Foundation
Theater Mu,Theater,,Performing Group,,http://www.muperformingarts.org/,(651) 789-1012 ,shannon@theatermu.org,shannon@muperformingarts.org,755 Prior Ave N,Ste 107,St Paul,MN,55104-1038,"Shannon Fitzgerald, Managing Director","Mu produces great performances born of arts, equity, and justice from the heart of the Asian American experience.",73349,2019,Theater Mu,Theater Mu
Theatre in the Round Players,"Theater, general",,Performing Group - Community,,http://www.theatreintheround.org/,(612) 333-2919x 102,Admin@TheatreintheRound.org,,245 Cedar Ave S,,Minneapolis,MN,55454-1054,"Steven Antenucci, Executive Director","The mission of Theatre in the Round Players is to be recognized as a premier community theater that: Provides significant entertainment and educational opportunities to its audiences; presents acclaimed live theater on an arena stage; promotes a professional attitude among the volunteers, staff, and friends who constitute the community that is Theatre in the Round; provides challenging, engaging, and disciplined opportunities for avocational artists, technicians and aspiring professionals; provides an environment with reasonable accommodations for all individuals with disabilities; promotes an environment that is open, nurturing, appreciative, and inviting to participation of the whole community; and promotes a commitment to the continued existence of live theater.",73035,2019,"Theatre in the Round Players, Inc.","Theatre in the Round Players, Inc."
Theatre Latte-Da,Theater,"Opera, musical theater",Performing Group,,https://www.latteda.org/,(612) 339-3003 ,libi@latteda.org,,345 13th Ave NE,,Minneapolis,MN,55413,"Libi Baehr, Development Manager","Theater Latté Da seeks to create new connections between story, music, artist, and audience by exploring and expanding the art of musical theater.",71499,2019,Theatre Latté-Da,Theatre Latté-Da
Theatre L'Homme Dieu,"Theater, general",Opera/Musical Theater,Performance Facility,Performing Group - Community,https://www.tlhd.org/,(320) 846-3150 ,tlhd@tlhd.org,nrmulder@hotmail.com,1875 County Rd 120 NE,PO Box 1086,Alexandria,MN,56308,"Nicole Mulder, Executive Director","Theatre L'Homme Dieu produces and presents exceptional live theater, fine arts, and educational programming that celebrates culture and nurtures community, enriching the quality of life throughout Alexandria, the Lakes Area and central Minnesota.",73374,2019,Theatre L'Homme Dieu,Theatre L'Homme Dieu
TU Dance,Dance,"Dance, modern",Performing Group,,http://www.tudance.org/,(651) 699-6055 ,Abdo.sayegh@tudance.org,,PO Box 40405,,St Paul,MN,55104,"Abdo Sayegh, Managing Director","TU Dance reaches through diverse dance traditions to uncover the connective power of dance for audiences, students, artists, and the community.",73152,2019,TU Dance,TU Dance
Twin Cities Film Fest,"Media Arts, film",,Fair/Festival,Cinema,http://www.twincitiesfilmfest.org/,(612) 615-8233 ,danielle.palmer@twincitiesfilmfest.org,,1649 Alabama Ave S,,St Louis Park,MN,55416,"Danielle Palmer, Development Director","Twin Cities Film Fest, a year-round film arts organization that strives to be the premiere film festival in the Midwest, showcases exceptional American independent films to discerning Midwest audiences. TCFF promotes Minnesota talent, provides educational, networking and distribution opportunities that can expand careers and support thought provoking content. TCFF is committed to cultivating new and underrepresented voices in cinema, particularly female and minority voices. With the core value that film provokes discussion and evokes empathy, TCFF programming is replete with diverse voices that challenge the status quo and shift perceptions. Socially responsible programming pushes audiences to make an individual difference in their community.",73133,2019,Twin Cities Film Fest,Twin Cities Film Fest
Twin Cities Gay Men's Chorus,"Music, choral","Dance, modern",Performing Group,,https://www.tcgmc.org/,(612) 339-7664 ,jheine@tcgmc.org,,528 Hennepin Ave,Ste 307,Minneapolis,MN,55403-1810,"Jeff Heine, Executive Director",The mission of the Twin Cities Gay Men's Chorus is gay men building community through music.,73377,2019,Twin Cities Gay Men's Chorus,Twin Cities Gay Men's Chorus
Twin Cities Women's Choir,"Music, choral",,Performing Group - Community,,https://www.twincitieswomenschoir.org/,(612) 333-8292 ,elisa@hervoiceproductions.org,,3901 Chicago Ave,,Minneapolis,MN,55407,"Elisa Olson, Executive Director","The Twin Cities Women's and Girls' Choirs are a diverse community that sings, performs, and affirms the voices of women and girls.",73547,2019,Twin Cities Women's Choir,Twin Cities Women's Choir
"Upstream Arts, Inc.",Multidisciplinary,Theater,Arts Service Organization,,http://www.upstreamarts.org,(612) 331-4584 ,bree@upstreamarts.org,info@upstreamarts.org,3501 Chicago Ave S,,Minneapolis,MN,55407,"Bree Sieplinga, Associate Director",Upstream Arts uses the power of the creative arts to activate and amplify the voice and choice of individuals with disabilities.,71768,2019,"Upstream Arts, Inc.","Upstream Arts, Inc."
VocalEssence,"Music, choral","Music, ethnic/folk-inspired",Performing Group,,https://www.vocalessence.org/,(612) 547-1451 ,elissa@vocalessence.org,,1900 Nicollet Ave,,Minneapolis,MN,55403,"Elissa Weller, Grants/Special Events Mgr","VocalEssence champions choral music of all genres, celebrating the vocal experience through innovative concerts, commissions, and community engagement programs.",73531,2019,VocalEssence,VocalEssence
VSA Minnesota,Multidisciplinary,,Arts Service Organization,,http://www.vsamn.org/,(612) 332-3888 ,craig@vsamn.org,info@vsamn.org,528 Hennepin Ave,Ste 305,Minneapolis,MN,55403-1810,"Craig Dunn, Executive Director","The mission of VSA Minnesota is to create a community where people with disabilities can learn through, participate in, and access the arts.",73299,2019,VSA Minnesota,VSA Minnesota
Walker Art Center,Interdisciplinary,Visual arts,Arts Center,,https://www.walkerart.org/,(612) 375-7640 ,marla.stack@walkerart.org,,1750 Hennepin Ave,,Minneapolis,MN,55403-2115,"Marla Stack, Speci Prj Fundraising Director","The Walker Art Center is a catalyst for the creative expression of artists and the active engagement of audiences. Focusing on the visual, performing, and media arts of our time, the Walker takes a global, multidisciplinary, and diverse approach to the creation, presentation, interpretation, collection, and preservation of art. Walker programs examine the questions that shape and inspire us as individuals, cultures, and communities.",71501,2019,Walker Art Center,Walker Art Center
Walker|West,Music,"Music, jazz",School of the Arts,,https://www.walkerwest.org/,(651) 224-2929 ,braxton@walkerwest.org,info@walkerwest.org,760 Selby Ave,,St Paul,MN,55104,"Braxton Haulcy, Executive Director","Walker|West creates a music learning community rooted in the African-American cultural experience, where people of all ages and backgrounds can gather, explore, and grow through music.",73533,2019,Walker West Music Academy,Walker West Music Academy
Weavers Guild of Minnesota,"Crafts, fiber","Design arts, fashion",Arts Service Organization,School of the Arts,https://www.weaversguildmn.org/,(612) 436-0463 ,info@weaversguildmn.org,,3000 University Ave SE,Ste 010,Minneapolis,MN,55414,"Karen Knudsen, Operations Mgr & Member Sup","The Weavers Guild of Minnesota-preserving and advancing the arts of weaving, spinning, and dyeing since 1940.",73367,2019,Weavers Guild of Minnesota,Weavers Guild of Minnesota
White Bear Center for the Arts,Visual arts,Crafts,Arts Center,School of the Arts,https://www.whitebeararts.org/,(651) 407-0597 ,suzi@whitebeararts.org,wbca@whitebeararts.org,4971 Long Ave,,White Bear Lake,MN,55110,"Suzi Hudson, Executive Director",The mission of White Bear Center for the Arts is to provide a gateway to diverse arts experiences.,73092,2019,White Bear Center for the Arts,White Bear Center for the Arts
Wirth Center for the Performing Arts,Music,"Dance, ballet",School of the Arts,,https://www.wirthcenter.org/,(320) 255-0318 ,cgoering@wirthcenter.org,,823 1st St S,PO Box 162,St Cloud,MN,56301,"Christopher Goering, Executive Director",The Wirth Center for the Performing Arts is a community that fosters and inspires personal and artistic growth by empowering students to the highest level of artistic expression in all genres. We nurture the talent within.,73171,2019,Wirth Center for the Performing Arts,Wirth Center for the Performing Arts
Yellow Tree Theatre,"Theater, general",,Performing Group - Community,,https://www.yellowtreetheatre.com/,(763) 493-8733 ,jessica@yellowtreetheatre.com,boxoffice@yellowtreetheatre.com,320 5th Ave SE,,Osseo,MN,55369,"Jessica Peterson, Associate Artistic Director","Yellow Tree Theatre brings stories to life that ignite passion, inspire laughter, and awaken possibility while exploring and celebrating the great complexities of the human spirit. We strive to be a welcoming artistic venue where people of all ages and walks of life can gather to experience authentic community, and to produce high quality professional productions in the heart of the Northwest suburbs of Minneapolis, making live theater more accessible to the community.",71262,2019,Yellow Tree Theatre,Yellow Tree Theatre
Youth Performance Company,Theater for young audiences,"Theater, general",Performing Group for Youth,,https://www.youthperformanceco.org/,(612) 623-9180x 100,jknight@youthperformanceco.org,,3338 University Ave SE,,Minneapolis,MN,55414-3468,"Jacalyn Knight, Artistic Director","Youth Performance Company is a youth inspired theater that serves the community and fuels the creative spirit of youth by developing, empowering, and advancing young artists.",73564,2019,Youth Performance Company,Youth Performance Company
Zeitgeist,"Music, new-experimental, elec",,Performing Group,,http://www.zeitgeistnewmusic.org/,(651) 755-1600 ,heather@zeitgeistnewmusic.org,,275 4th St E,Ste 200,St Paul,MN,55101-1628,"Heather Barringer, Percussionist",Zeitgeist's mission is to bring newly created music to life with performances that engage and stimulate.,73542,2019,Zeitgeist,Zeitgeist
Zeitgeist Center for Arts and Community,Multidisciplinary,,Arts Center,Community Service Organization,https://zeitgeistarts.com/,(218) 726-5430 ,tony@zeppa.org,,222 Superior St E,Ste 326,Duluth,MN,55802,"Anthony Cuneo, Executive Director","Zeitgeist Center for Arts and Community practices the art of growing a connected, healthy community empowered to create and thrive.",72346,2019,Zeitgeist Center for Arts and Community,Zeitgeist Center for Arts and Community
"Zenon Dance Company and School, Inc.","Dance, modern","Dance, ethnic/jazz/folk-ins",Performing Group,School of the Arts,https://www.zenondance.org/,(612) 338-1101 ,marasmail@yahoo.com,,528 Hennepin Ave,Ste 400,Minneapolis,MN,55403-1810,"Mara Winke, Managing Director","The mission of Zenon Dance Company and School, Inc. is to sustain an artistically excellent, professional dance company in the Twin Cities by presenting the commissioned works of emerging and locally, nationally, and internationally recognized modern and jazz choreographers to the broadest and most diverse audiences and communities possible, including those with disabilities. Zenon accomplishes this through performance, education, and outreach. Zenon's school provides high quality dance instruction for avocational to professional dancers in a diverse curriculum.",73385,2019,"Zenon Dance Company and School, Inc.","Zenon Dance Company and School, Inc."
Zorongo Flamenco Dance Theatre and School,"Dance, ethnic/jazz/folk-ins","Music, ethnic/folk-inspired",Performing Group,School of the Arts,http://www.zorongo.org/,(612) 234-1653 ,zorongoflamenco@gmail.com,,3012 Minnehaha Ave S,,Minneapolis,MN,55406-1932,"G. Michael Bargas, Managing Director","The mission of Zorongo Flamenco Dance Theatre and School is to enrich our community by drawing people close to the beauty and energy of the flamenco tradition and, by expanding on that tradition, create an innovative art form that explores the issues of contemporary life.",73368,2019,"Zorongo Flamenco, Inc.","Zorongo Flamenco, Inc."
